,0
the,26202
a,10721
and,10015
to,9439
i,9233
is,7466
of,7311
that,6528
in,6386
it,5763
you,4202
for,4064
car,3352
with,3266
on,3210
have,3156
are,3095
but,3042
they,2955
as,2910
not,2692
be,2586
was,2165
this,2101
or,2044
cars,2009
my,1986
about,1873
at,1836
like,1826
if,1765
has,1718
all,1706
will,1672
more,1629
an,1614
what,1528
one,1505
mercedes,1450
so,1447
new,1441
just,1426
than,1416
think,1396
lexus,1381
-,1349
their,1323
would,1318
it's,1291
me,1245
bmw,1234
do,1215
from,1187
don't,1155
there,1121
out,1092
when,1063
can,1026
had,976
your,955
some,940
no,936
see,923
by,915
much,885
up,856
get,843
know,842
very,832
any,824
even,822
also,815
other,796
only,791
i'm,782
because,772
better,742
now,719
people,715
luxury,713
well,702
which,690
them,690
look,686
its,655
been,652
how,643
really,642
these,632
sales,632
same,628
most,627
who,625
time,621
over,621
were,615
too,612
good,603
still,599
way,595
does,595
here,594
we,590
s,585
m,583
say,573
am,567
years,559
price,546
going,541
audi,539
make,524
year,523
many,515
said,510
did,503
lincoln,502
then,485
interior,477
doesn't,477
why,473
never,469
looks,464
best,457
right,452
those,448
buy,443
first,440
"""",435
back,433
great,433
class,429
drive,428
go,428
market,413
i've,413
being,408
jaguar,401
model,400
different,386
where,382
toyota,379
should,377
quality,376
can't,375
though,373
could,371
he,367
few,365
point,365
next,358
may,356
both,355
lot,355
into,354
own,353
before,352
last,347
made,344
something,342
styling,340
design,340
anyone,339
take,338
anything,336
us,334
want,333
far,333
sure,332
reliability,331
looking,331
thing,331
driving,330
ever,327
old,318
brand,317
less,317
two,315
always,311
things,308
didn't,307
while,306
end,306
after,305
around,305
every,302
actually,301
isn't,301
since,296
down,294
agree,291
got,289
read,289
infiniti,288
off,287
models,284
technology,284
big,283
money,278
ride,277
probably,277
that's,274
another,274
2,273
maybe,271
performance,269
post,269
problems,265
makes,264
current,263
high,262
gs,261
believe,260
long,260
used,260
problem,259
either,257
find,256
seems,256
yet,254
come,254
you're,253
series,252
least,251
engine,250
nothing,249
e,249
put,249
fact,249
sell,249
dealer,248
such,246
seen,245
again,235
i'll,231
experience,229
feel,226
4,222
german,222
little,222
his,221
else,219
others,217
system,216
cadillac,215
pretty,214
2004,212
however,212
thought,211
quite,211
auto,210
yes,209
based,209
etc,209
buyers,208
front,208
rear,207
board,205
